                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1089,                0.57891,                0.80275,                0.84959,                0.61815,                0.66416,                 0.3948,                 1.0934,                0.55854,                 0.8034,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0895,                0.57282,                0.80654,                0.74947,                0.60142,                0.64772,                 0.4024,                 1.0675,                0.56152,                0.80254,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0993,                0.57327,                0.80118,                0.81893,                0.59539,                0.63973,                0.38359,                 1.1017,                0.57359,                 0.8033,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.1467,                0.59492,                0.80329,                0.83586,                0.61737,                0.65783,                0.39619,                  1.083,                0.56907,                0.80305,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.1077,                0.58189,                0.80556,                0.84306,                 0.6299,                0.66483,                 0.4031,                 1.0816,                0.56201,                0.80175,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0983,                0.57101,                0.80123,                0.75972,                0.59765,                0.64098,                0.40915,                 1.0585,                 0.5693,                0.80134,               0.000458,               0.000458,               0.000458
                     66,                 1.1321,                0.58246,                0.80346,                0.75828,                0.61435,                0.65846,                0.40613,                 1.0725,                0.55334,                 0.8012,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.1381,                0.58273,                0.80436,                0.73147,                0.60712,                0.64373,                0.40388,                 1.0896,                0.55525,                0.80331,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.1175,                0.57169,                0.80326,                0.71639,                0.59923,                0.63938,                0.40454,                 1.0853,                0.56096,                0.80198,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.1192,                0.56699,                 0.8019,                0.75184,                0.64121,                 0.6539,                0.41024,                  1.078,                0.55111,                0.80112,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0612,                0.54809,                0.80525,                0.79067,                0.60756,                0.66234,                0.41293,                 1.0685,                 0.5537,                0.80091,             0.00039613,             0.00039613,             0.00039613
                     71,                  1.101,                0.56066,                0.79941,                0.79216,                0.62559,                 0.6768,                0.41397,                 1.0905,                0.54486,                0.80186,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.1227,                0.56769,                0.80216,                0.79582,                0.62845,                0.67517,                0.41069,                 1.0767,                0.53737,                0.80115,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.1029,                0.55892,                0.80006,                0.78678,                0.59704,                0.67311,                0.39399,                 1.1207,                0.55526,                0.80344,               0.000359,               0.000359,               0.000359
                     74,                 1.0744,                0.55415,                0.80293,                0.79786,                0.63553,                0.67836,                0.40771,                 1.0736,                0.54257,                0.80023,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.1129,                0.55575,                0.80555,                0.83414,                0.60766,                 0.6754,                0.41648,                 1.0637,                0.53046,                0.80115,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.1055,                0.55468,                0.80027,                0.81823,                0.62436,                0.67593,                0.42319,                 1.0702,                0.53331,                  0.801,             0.00032188,             0.00032188,             0.00032188
                     77,                  1.078,                 0.5434,                0.79804,                0.74259,                0.65063,                0.67779,                0.42525,                  1.061,                 0.5446,                0.80126,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.0561,                0.53708,                0.80365,                0.75401,                0.63827,                0.67574,                0.41529,                 1.0694,                0.53776,                0.80245,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.0538,                0.53643,                0.79924,                 0.8321,                0.59146,                0.67411,                0.42049,                  1.058,                0.54094,                0.80221,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.0747,                0.53824,                0.80093,                0.84166,                0.62122,                0.68713,                0.42308,                 1.0591,                0.53268,                0.80088,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.0471,                0.53312,                0.79767,                0.89412,                0.60192,                0.68265,                0.42689,                 1.0543,                0.54168,                    0.8,                0.00026,                0.00026,                0.00026
                     82,                 1.0568,                0.53385,                0.80328,                0.81511,                0.61207,                0.67469,                0.42614,                 1.0677,                0.53256,                0.80075,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.0643,                0.53663,                0.80116,                 0.8173,                0.64822,                0.69693,                0.42545,                  1.077,                0.53876,                0.80187,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.0382,                0.53159,                0.79729,                0.82026,                0.65011,                0.68794,                0.43029,                 1.0482,                0.52828,                0.79979,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.0702,                 0.5335,                0.80033,                0.82297,                0.65996,                0.69456,                  0.421,                 1.0484,                0.52904,                0.79942,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.1113,                0.55091,                0.79869,                0.82867,                0.64951,                0.70011,                0.42352,                 1.0572,                0.53573,                0.80079,             0.00019813,             0.00019813,             0.00019813
                     87,                  1.075,                0.53193,                0.79767,                0.76241,                0.63368,                0.68158,                0.41284,                 1.0758,                0.53943,                0.80203,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.0548,                 0.5279,                0.80446,                0.87964,                0.58362,                0.68507,                0.42048,                 1.0386,                0.53324,                0.79918,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.0341,                0.52255,                0.80219,                0.79887,                0.66824,                0.70223,                0.43151,                 1.0441,                0.52894,                0.79931,               0.000161,               0.000161,               0.000161
                     90,                 1.0348,                0.52011,                0.80053,                0.79928,                0.64634,                0.69058,                0.43086,                  1.043,                0.52666,                0.79877,             0.00014862,             0.00014862,             0.00014862
                     91,                0.98323,                 0.5361,                0.80439,                0.80285,                0.63285,                 0.6864,                0.42456,                 1.0544,                0.52092,                0.79973,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.0081,                0.52151,                0.79988,                0.77649,                0.65337,                0.68226,                0.41576,                 1.0676,                0.52377,                0.79967,             0.00012387,             0.00012387,             0.00012387
                     93,                0.97648,                0.50939,                0.79767,                 0.7762,                0.63301,                0.67713,                0.42958,                 1.0673,                0.52524,                0.79937,              0.0001115,              0.0001115,              0.0001115
                     94,                0.99215,                0.51709,                0.79717,                0.75367,                0.61584,                0.66857,                0.41303,                 1.0557,                0.53201,                0.79967,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.95806,                0.50405,                0.79864,                0.76525,                0.62952,                0.67914,                0.41845,                 1.0491,                0.52481,                0.79903,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.93842,                0.48861,                0.79654,                0.78221,                0.62847,                0.68693,                0.41961,                 1.0517,                0.52562,                0.79955,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.95006,                0.49322,                0.79239,                 0.7611,                0.63712,                0.68047,                0.41639,                 1.0514,                0.52217,                0.79968,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 0.9604,                0.49791,                0.79947,                0.75197,                0.64452,                0.67888,                0.41659,                 1.0556,                 0.5208,                 0.7999,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.93958,                 0.4822,                0.79523,                0.74395,                0.64317,                 0.6886,                0.42405,                 1.0587,                0.51933,                0.80056,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.92789,                0.48248,                0.79608,                0.75533,                0.62967,                0.68221,                0.42216,                 1.0587,                0.52127,                0.80043,             2.4875e-05,             2.4875e-05,             2.4875e-05
